year,month,ym_str,town,project,plh,loccate,waitime,nrooms,nunits,naplcnts,avgrate,rate_senior,rate_1st,rate_single,rate_2nd,sellprice_low,sellprice_high,est_resaleprice_low,est_resaleprice_high
2019,2,2019-02,Jurong West,Boon Lay Glade / Jurong West Jewel,No,Non-mature,41,2,500,974,1.9 ,1.4 ,0.3 ,4.5 ,0.4 ,95000,160000 ,,
2019,2,2019-02,Jurong West,Boon Lay Glade / Jurong West Jewel,No,Non-mature,41,3,166,389,2.3 ,,1.4 ,,4.6 ,185000,243000 ,319888,325000
2019,2,2019-02,Jurong West,Boon Lay Glade / Jurong West Jewel,No,Non-mature,41,4,431,1987,4.6 ,,4.2 ,,7.0 ,257000,364000 ,351000,458000
2019,2,2019-02,Jurong West,Boon Lay Glade / Jurong West Jewel,No,Non-mature,41,5,277,1894,6.8 ,,5.3 ,,15.6 ,338000,457000 ,450000,550888
2019,2,2019-02,Sengkang,Fernvale Vines,No,Non-mature,46,2,437,1039,2.4 ,1.8 ,0.4 ,5.1 ,0.4 ,102000,151000 ,,
2019,2,2019-02,Sengkang,Fernvale Vines,No,Non-mature,46,3,92,304,3.3 ,,2.0 ,,6.5 ,191000,242000 ,,
2019,2,2019-02,Sengkang,Fernvale Vines,No,Non-mature,46,4,216,1013,4.7 ,,4.2 ,,7.6 ,283000,344000 ,375000,495000
2019,2,2019-02,Sengkang,Fernvale Vines,No,Non-mature,46,5,188,791,4.2 ,,3.3 ,,9.3 ,365000,433000 ,480000,600000
2019,2,2019-02,Kallang / Whampoa,Kallang Breeze / Towner Crest,No,Mature,48,3,192,715,3.7 ,,2.5 ,,28.0 ,374000,472000 ,,
2019,2,2019-02,Kallang / Whampoa,Kallang Breeze / Towner Crest,No,Mature,48,4,663,6976,10.5 ,,8.8 ,,43.0 ,523000,674000 ,575000,717500
2019,5,2019-05,Woodlands,Champions Green,No,Non-mature,54,2,342,470,1.4 ,1.4 ,0.3 ,2.4 ,0.4 ,86000,128000 ,,
2019,5,2019-05,Woodlands,Champions Green,No,Non-mature,54,3,88,239,2.7 ,,1.6 ,,5.4 ,165000,194000 ,280000,318000
2019,5,2019-05,Woodlands,Champions Green,No,Non-mature,54,4,157,1033,6.6 ,,6.3 ,,8.2 ,244000,295000 ,360000,400888
2019,5,2019-05,Woodlands,Champions Green,No,Non-mature,54,5,135,910,6.7 ,,6.2 ,,10.1 ,336000,383000 ,470000,495000
2019,5,2019-05,Tengah,Plantation Acres / Garden Vale @ Tengah,No,Non-mature,47,2,1007,561,0.6 ,0.4 ,0.0 ,0.9 ,0.0 ,106000,154000 ,,
2019,5,2019-05,Tengah,Plantation Acres / Garden Vale @ Tengah,No,Non-mature,47,3,195,267,1.4 ,,0.8 ,,2.6 ,192000,246000 ,,
2019,5,2019-05,Tengah,Plantation Acres / Garden Vale @ Tengah,No,Non-mature,47,4,507,1700,3.4 ,,3.2 ,,4.2 ,309000,357000 ,340000,448000
2019,5,2019-05,Tengah,Plantation Acres / Garden Vale @ Tengah,No,Non-mature,47,5,471,1501,3.2 ,,2.8 ,,5.6 ,415000,415000 ,455000,570000
2019,5,2019-05,Kallang / Whampoa,Kempas Residences,No,Mature,63,2,150,428,2.9 ,2.9 ,,,,117000,143000 ,,
2019,5,2019-05,Kallang / Whampoa,Kempas Residences,No,Mature,63,3,115,624,5.4 ,,3.3 ,,51.4 ,387000,469000 ,,
2019,5,2019-05,Kallang / Whampoa,Kempas Residences,No,Mature,63,4,318,4959,15.6 ,,12.5 ,,78.3 ,562000,674000 ,680000,717500
2019,9,2019-09,Punggol,Punggol Point Cove / Punggol Point Crown,No,Non-mature,51,2,1260,1618,1.3 ,1.0 ,0.2 ,2.7 ,0.3 ,109000,173000 ,230000,255000
2019,9,2019-09,Punggol,Punggol Point Cove / Punggol Point Crown,No,Non-mature,51,3,189,477,2.5 ,,1.4 ,,5.3 ,205000,268000 ,335000,360000
2019,9,2019-09,Punggol,Punggol Point Cove / Punggol Point Crown,No,Non-mature,51,4,872,1915,2.2 ,,1.8 ,,4.5 ,287000,398000 ,440000,480000
2019,9,2019-09,Punggol,Punggol Point Cove / Punggol Point Crown,No,Non-mature,51,5,403,1734,4.3 ,,2.7 ,,13.6 ,423000,551000 ,560000,688000
2019,9,2019-09,Tampines,Tampines GreenGlen,No,Mature,44,4,330,766,2.3 ,,1.8 ,,12.2 ,312000,380000 ,400000,465000
2019,9,2019-09,Tampines,Tampines GreenGlen,No,Mature,44,5,319,669,2.1 ,,1.6 ,,12.3 ,418000,504000 ,470000,575000
2019,11,2019-11,Tengah,Plantation Village / Plantation Grange / Garden Vines @ Tengah,No,Non-mature,39,2,1190,745,0.6 ,0.6 ,0.1 ,1.0 ,0.1 ,110000,167000 ,,
2019,11,2019-11,Tengah,Plantation Village / Plantation Grange / Garden Vines @ Tengah,No,Non-mature,39,3,293,314,1.1 ,,0.7 ,,1.9 ,208000,256000 ,,
2019,11,2019-11,Tengah,Plantation Village / Plantation Grange / Garden Vines @ Tengah,No,Non-mature,39,4,1091,1937,1.8 ,,1.5 ,,5.5 ,302000,381000 ,365000,455888
2019,11,2019-11,Tengah,Plantation Village / Plantation Grange / Garden Vines @ Tengah,No,Non-mature,39,5,886,1801,2.0 ,,1.6 ,,8.0 ,409000,510000 ,515000,560000
2019,11,2019-11,Tampines,Tampines GreenSpring,No,Mature,39,2,156,603,3.9 ,5.6 ,0.3 ,,13.5 ,145000,216000 ,,
2019,11,2019-11,Tampines,Tampines GreenSpring,No,Mature,39,3,90,673,7.5 ,,3.0 ,,104.5 ,281000,328000 ,410000,443000
2019,11,2019-11,Tampines,Tampines GreenSpring,No,Mature,39,4,218,3257,14.9 ,,11.3 ,,90.2 ,394000,480000 ,530000,615000
2019,11,2019-11,Tampines,Tampines GreenSpring,No,Mature,39,5,193,3890,20.2 ,,11.7 ,,193.2 ,508000,606000 ,645000,728000
2019,11,2019-11,Ang Mo Kio,Yio Chu Kang Beacon,No,Mature,48,2,132,305,2.3 ,2.8 ,0.3 ,,15.0 ,170000,253000 ,,
2019,11,2019-11,Ang Mo Kio,Yio Chu Kang Beacon,No,Mature,48,3,87,334,3.8 ,,1.8 ,,47.0 ,332000,391000 ,,
2019,11,2019-11,Ang Mo Kio,Yio Chu Kang Beacon,No,Mature,48,4,235,3806,16.2 ,,13.2 ,,77.7 ,451000,563000 ,535000,655000
