Project,Town,Category,Number of Rooms,Num of Units,Number of Applications
Canberra Vista,Sembawang, Non-mature,3,124,847
Canberra Vista,Sembawang, Non-mature,4,385,3048
Canberra Vista,Sembawang, Non-mature,5,266,3738
Toa Payoh Ridge / Kim Keat Ripples,Toa Payoh, Mature,3,102,935
Toa Payoh Ridge / Kim Keat Ripples,Toa Payoh, Mature,4,1211,11684
Keat Hong Verge,Choa Chu Kang, Non-mature,3,118,263
Keat Hong Verge,Choa Chu Kang, Non-mature,4,290,683
Parc Residences @ Tengah,,Non-mature,3,99,363
Parc Residences @ Tengah,,Non-mature,4,281,1436
Parc Residences @ Tengah,,Non-mature,5,184,1284
UrbanVille @ Woodlands / Champions Bliss,,Non-mature,3,144,896
UrbanVille @ Woodlands / Champions Bliss,,Non-mature,4,706,4125
UrbanVille @ Woodlands / Champions Bliss,,Non-mature,5,438,4297
Kebun Baru Edge,Ang Mo Kio, Mature,4,240,2568
Kebun Baru Edge,Ang Mo Kio, Mature,5,140,3006
Bishan Towers,Bishan, Mature,3,80,319
Bishan Towers,Bishan, Mature,4,272,1689
Dakota One,Geylang, Mature,3,87,787
Dakota One,Geylang, Mature,4,334,6394
Costa Grove,Pasir Ris, Mature,3,160,436
Costa Grove,Pasir Ris, Mature,4,373,1771
Costa Grove,Pasir Ris, Mature,5,325,2369
Tampines GreenCrest / Tampines GreenOpal / Tampines GreenGlade,Tampines, Mature,3,182,486
Tampines GreenCrest / Tampines GreenOpal / Tampines GreenGlade,Tampines, Mature,4,871,1864
Tampines GreenCrest / Tampines GreenOpal / Tampines GreenGlade,Tampines, Mature,5,717,1402
Sun Sails,Sembawang, Non-mature,3,84,359
Sun Sails,Sembawang, Non-mature,4,238,964
Sun Sails,Sembawang, Non-mature,5,184,1060
Garden Court @ Tengah / Garden Terrace @ Tengah,,Non-mature,3,218,277
Garden Court @ Tengah / Garden Terrace @ Tengah,,Non-mature,4,570,1495
Garden Court @ Tengah / Garden Terrace @ Tengah,,Non-mature,5,327,1343
Bishan Ridges,Bishan, Mature,3,124,822
Bishan Ridges,Bishan, Mature,4,1222,8635
Tampines GreenEmerald,Tampines, Mature,4,360,1441
Tampines GreenEmerald,Tampines, Mature,5,244,1126
Bartley Beacon / ParkView @ Bidadari,Toa Payoh, Mature,3,184,401
Bartley Beacon / ParkView @ Bidadari,Toa Payoh, Mature,4,910,3598
Bartley Beacon / ParkView @ Bidadari,Toa Payoh, Mature,5,144,2170
West Hill @ Bukit Batok,Bukit Batok, Non-mature,3,81,212
West Hill @ Bukit Batok,Bukit Batok, Non-mature,4,387,615
West Hill @ Bukit Batok,Bukit Batok, Non-mature,5,331,666
Parc Woods @ Tengah,,Non-mature,3,83,198
Parc Woods @ Tengah,,Non-mature,4,387,1294
McNair Heights,Kallang/ Whampoa, Mature,3,104,413
McNair Heights,Kallang/ Whampoa, Mature,4,386,2869
Bartley GreenRise / ParkEdge @ Bidadari / Alkaff Breeze,Toa Payoh, Mature,3,96,462
Bartley GreenRise / ParkEdge @ Bidadari / Alkaff Breeze,Toa Payoh, Mature,4,797,4667
Bartley GreenRise / ParkEdge @ Bidadari / Alkaff Breeze,Toa Payoh, Mature,5,323,3193
Garden Bloom @ Tengah,,Non-mature,4,265,1023
Garden Bloom @ Tengah,,Non-mature,5,251,1168
Woodgrove Ascent,Woodlands, Non-mature,3,84,451
Woodgrove Ascent,Woodlands, Non-mature,4,411,1794
Woodgrove Ascent,Woodlands, Non-mature,5,359,1990
Telok Blangah Beacon,Bukit Merah, Mature,3,105,604
Telok Blangah Beacon,Bukit Merah, Mature,4,70,3474
MacPherson Weave,Geylang, Mature,3,156,569
MacPherson Weave,Geylang, Mature,4,1010,5595
Hougang Citrine / Kovan Wellspring,Hougang, Non-mature,3,178,1986
Hougang Citrine / Kovan Wellspring,Hougang, Non-mature,4,459,11420
Hougang Citrine / Kovan Wellspring,Hougang, Non-mature,5,102,1085
Toh Guan Grove,Jurong East, Non-mature,3,85,520
Toh Guan Grove,Jurong East, Non-mature,4,240,3628
Towner Residences,Kallang/Whampoa, Mature,3,90,265
